trace,section,metric,value,unit
sgemm_tcu_bcol_m64_k64_n64,hbm_axi,write_addr_p50_interval,2.0,cycles
sgemm_tcu_bcol_m64_k64_n64,hbm_axi,write_addr_p90_interval,3.0,cycles
sgemm_tcu_bcol_m64_k64_n64,hbm_axi,write_addr_p99_interval,44.100000000000364,cycles
sgemm_tcu_bcol_m64_k64_n64,hbm_axi,write_addr_max_interval,4542.0,cycles
sgemm_tcu_bcol_m64_k64_n64,hbm_axi,write_addr_max_burst_len,4.0,count
sgemm_tcu_bcol_m64_k64_n64,hbm_axi,write_addr_consecutive_interval_pct,23.187883159033536,cycles
sgemm_tcu_bcol_m64_k64_n64,hbm_axi,write_data_event_count,5547.0,count
sgemm_tcu_bcol_m64_k64_n64,hbm_axi,write_data_mean_interval,15.246483952398124,cycles
sgemm_tcu_bcol_m64_k64_n64,hbm_axi,write_data_p50_interval,2.0,cycles
sgemm_tcu_bcol_m64_k64_n64,hbm_axi,write_data_p90_interval,3.0,cycles
