cycle,head_tag,head_addr,head_psum_ready,post_count,post_launch,tree_credit,input_valid,input_ready,rd_fire,logical_slot,logical_rsp_slot,rsp_fire,core_rsp_tag,core_rsp_fire,request_txn,join_free,join_alloc,join_issue,join_issue_done,lane_req_valid,lane_req_fire,lane_rsp_valid,lane_rsp_ready,lane_rsp_tags,join_rsp_tag,join_rsp_valid,join_rsp_ready,lane_addr,b0_root_valid,b0_root_read,b0_root_write,b0_selected_root,b0_selected,b0_grant_fire,b4_root_valid,b4_root_read,b4_root_write,b4_selected_root,b4_selected,b4_grant_fire,b8_root_valid,b8_root_read,b8_root_write,b8_selected_root,b8_selected,b8_grant_fire,b12_root_valid,b12_root_read,b12_root_write,b12_selected_root,b12_selected,b12_grant_fire
96411,32189,8585887552,1,3,0,0,1,0,1,1,4,0,32191,0,32204,4,1,7,0,240,0,15,15,17871427359045,4,0,0,226049898697002718609009651038382826561070937322769987110279909808203647064,2,2,0,1,8,1,0,2,0,0,7,0,0,2,0,0,7,0,3,2,0,0,0,1
96412,32189,8585887552,1,4,1,0,1,1,0,0,4,0,32192,1,32192,8,0,7,0,240,0,0,0,17871427359045,4,0,0,226049898697002718609009651038382826561070937322769987110279909808203647064,0,2,0,0,7,0,0,2,0,0,7,0,0,2,0,0,7,0,3,2,0,0,0,1
96413,32190,8585887616,1,3,0,0,1,0,1,12,4,0,32192,0,32205,8,1,7,0,240,0,15,15,17871427625350,4,0,0,226049898697002718609009651038382826561070937322769987110279909808203647064,0,2,0,0,7,0,0,2,0,0,7,0,2,2,0,1,8,1,3,2,0,0,0,1
96414,32190,8585887616,1,4,1,0,1,1,0,0,4,0,32193,1,32192,9,0,7,0,240,0,0,0,17871427625350,4,0,0,226049898697002718609009651038382826561070937322769987110279909808203647064,0,2,0,0,7,0,0,2,0,0,7,0,0,2,0,0,7,0,3,2,0,0,0,1
96415,32191,8585887680,1,3,0,0,1,0,1,0,4,0,32193,0,32206,9,1,7,0,240,0,15,15,17871426027520,4,0,0,226049898697002718609009651038382826561070937322769987110279909808203647064,0,2,0,0,7,0,0,2,0,0,7,0,0,2,0,0,7,0,3,2,0,0,0,1
96416,32191,8585887680,1,4,1,0,1,1,0,0,4,0,32194,1,32206,10,0,7,0,240,0,0,0,17871426027520,4,0,0,226049898697002718609009651038382826561070937322769987110279909808203647064,0,2,0,0,7,0,0,2,0,0,7,0,0,2,0,0,7,0,3,2,0,0,0,1
96417,32192,8585887744,1,3,0,0,1,0,1,13,4,0,32194,0,32207,10,1,7,0,240,0,15,15,17871426560130,4,0,0,226049898697002718609009651038382826561070937322769987110279909808203647064,0,2,0,0,7,0,0,2,0,0,7,0,0,2,0,0,7,0,3,2,0,0,0,1
96418,32192,8585887744,1,4,1,0,1,1,0,0,4,0,32194,0,32206,11,0,7,0,240,0,0,0,17871426560130,4,0,0,226049898697002718609009651038382826561070937322769987110279909808203647064,0,2,0,0,7,0,0,2,0,0,7,0,0,2,0,0,7,0,3,2,0,0,0,1
96419,32193,8585887808,1,3,0,0,1,0,1,2,4,0,32194,0,32208,11,1,7,0,240,0,15,15,17871427891655,4,0,0,226049898697002718609009651038382826561070937322769987110279909808203647064,0,2,0,0,7,0,0,2,0,0,7,0,0,2,0,0,7,0,3,2,0,0,0,1
96420,32193,8585887808,1,4,1,0,1,1,0,0,4,0,32196,1,32206,12,0,7,0,240,0,0,0,17871427891655,4,0,0,226049898697002718609009651038382826561070937322769987110279909808203647064,0,2,0,0,7,0,0,2,0,0,7,0,0,2,0,0,7,0,3,2,0,0,0,1
96421,32194,8585887872,1,3,0,0,1,0,1,14,4,0,32196,0,32209,12,1,7,0,240,0,0,0,17871427891655,4,0,0,226049898697002718609009651038382826561070937322769987110279909808203647064,0,2,0,0,7,0,0,2,0,0,7,0,0,2,0,0,7,0,3,2,0,0,0,1
96422,32194,8585887872,1,4,1,0,1,1,0,0,4,0,32196,0,32206,13,0,7,0,240,0,0,0,17871427891655,4,0,0,226049898697002718609009651038382826561070937322769987110279909808203647064,0,2,0,0,7,0,0,2,0,0,7,0,0,2,0,0,7,0,3,2,0,0,0,1
96423,32195,8585887936,0,3,0,0,1,0,1,4,4,0,32196,0,32210,13,1,7,0,240,0,0,0,17871427891655,4,0,0,226049898697002718609009651038382826561070937322769987110279909808203647064,0,2,0,0,7,0,0,2,0,0,7,0,0,2,0,0,7,0,3,2,0,0,0,1
96424,32195,8585887936,0,4,0,0,1,1,0,0,4,0,32198,1,32206,14,0,7,0,240,0,0,0,17871427891655,4,0,1,226049898697002718609009651038382826561070937322769987110279909808203647064,0,2,0,0,7,0,0,2,0,0,7,0,0,2,0,0,7,0,3,2,0,0,0,1
96425,32195,8585887936,0,4,0,0,1,0,1,15,4,0,32198,0,32211,14,1,7,0,240,0,0,0,17871427891655,4,0,1,226049898697002718609009651038382826561070937322769987110279909808203647064,0,2,0,0,7,0,0,2,0,0,7,0,0,2,0,0,7,0,3,2,0,0,0,1
96426,32195,8585887936,0,4,0,0,1,0,0,0,4,0,32198,0,32206,15,0,7,0,240,0,0,0,17871427891655,4,0,1,226049898697002718609009651038382826561070937322769987110279909808203647064,0,2,0,0,7,0,0,2,0,0,7,0,0,2,0,0,7,0,3,2,0,0,0,1
96427,32195,8585887936,0,4,0,0,1,0,0,0,4,0,32198,0,32206,15,0,7,0,240,0,0,0,17871427891655,4,0,1,226049898697002718609009651038382826561070937322769987110279909808203647064,0,2,0,0,7,0,0,2,0,0,7,0,0,2,0,0,7,0,3,2,0,0,0,1
96428,32195,8585887936,0,4,0,0,1,0,0,0,4,0,32198,0,32206,15,0,7,0,240,0,0,0,17871427891655,4,0,1,226049898697002718609009651038382826561070937322769987110279909808203647064,0,2,0,0,7,0,0,2,0,0,7,0,0,2,0,0,7,0,3,2,0,0,0,1
96429,32195,8585887936,0,4,0,0,1,0,0,0,4,0,32198,0,32206,15,0,7,0,240,0,0,0,17871427891655,4,0,1,226049898697002718609009651038382826561070937322769987110279909808203647064,0,2,0,0,7,0,0,2,0,0,7,0,0,2,0,0,7,0,3,2,0,0,0,1
96430,32195,8585887936,0,4,0,0,1,0,0,0,4,0,32198,0,32206,15,0,7,0,240,0,0,0,17871427891655,4,0,1,226049898697002718609009651038382826561070937322769987110279909808203647064,0,2,0,0,7,0,0,2,0,0,7,0,0,2,0,0,7,0,3,2,0,0,0,1
96431,32195,8585887936,0,4,0,0,1,0,0,0,4,0,32198,0,32206,15,0,7,0,240,0,0,0,17871427891655,4,0,1,226049898697002718609009651038382826561070937322769987110279909808203647064,0,2,0,0,7,0,0,2,0,0,7,0,0,2,0,0,7,0,3,2,0,0,0,1
96432,32195,8585887936,0,4,0,0,1,0,0,0,4,0,32198,0,32206,15,0,7,0,240,0,0,0,17871427891655,4,0,1,226049898697002718609009651038382826561070937322769987110279909808203647064,0,2,0,0,7,0,0,2,0,0,7,0,0,2,0,0,7,0,3,2,0,0,0,1
96433,32195,8585887936,0,4,0,0,1,0,0,0,4,0,32198,0,32206,15,0,7,0,240,0,0,0,17871427891655,4,0,1,226049898697002718609009651038382826561070937322769987110279909808203647064,0,2,0,0,7,0,0,2,0,0,7,0,0,2,0,0,7,0,2,2,0,1,12,1
96434,32195,8585887936,0,4,0,0,1,0,0,0,4,0,32198,0,32206,15,0,7,0,240,0,0,0,17871427891655,4,0,1,226049898697002718609009651038382826561070937322769987110279909808203647064,0,2,0,0,7,0,0,2,0,0,7,0,0,2,0,0,7,0,2,2,0,1,12,1
96435,32195,8585887936,0,4,0,0,1,0,0,0,4,0,32198,0,32206,15,0,7,0,240,0,0,0,17871427891655,4,0,1,226049898697002718609009651038382826561070937322769987110279909808203647064,0,2,0,0,7,0,0,2,0,0,7,0,0,2,0,0,7,0,2,2,0,1,12,1
96436,32195,8585887936,0,4,0,0,1,0,0,0,4,0,32198,0,32206,15,0,7,1,240,240,0,0,17871427891655,4,0,1,226049898697002718609009651038382826561070937322769987110279909808203647064,0,2,0,0,7,0,2,2,0,1,12,1,0,2,0,0,7,0,0,2,0,0,7,0
96437,32195,8585887936,0,4,0,0,1,0,0,0,4,0,32198,0,32206,15,0,4,1,255,255,0,0,17871427891655,4,0,1,226049900381999386090562355493781774482138445416668417993776004823193765984,0,2,0,0,7,0,0,2,0,0,7,0,0,2,0,0,7,0,2,2,0,1,12,1
96438,32195,8585887936,0,4,0,0,1,0,0,0,4,0,32198,0,32206,15,0,8,1,255,255,0,0,17871427891655,4,0,1,226049902066996053572115059949180722403205953510566848877272099838183884904,0,2,0,0,7,0,2,2,0,1,12,1,0,2,0,0,7,0,0,2,0,0,7,0
